SIREN;NIC;SIRET;Statut de diffusion de l'établissement;Date de création de l'établissement;Tranche de l'effectif de l'établissement;Tranche de l'effectif de l'établissement triable;Année de la tranche d'effectif de l'établissement;Activité principale de l'établissement;Date de la dernière mise à jour de l'établissement;Etablissement siège;Nombre de periodes de l'établissement;Complément d'adresse de l'établissement;Numéro de voie de l'établissement;Indice de répétition de l'établissement;Type de voie de l'établissement;Libellé de la voie de l'établissement;Code postal de l'établissement;Commune de l'établissement;Libellé de la commune de l'établissement à l'étranger;Distribution spéciale de l'établissement;Code commune de l'établissement;Code cedex de l'établissement;Libellé cedex de l'établissement;Code du pays de l'établissement étranger;Libellé du pays de l'établissement étranger;Complément d'adresse de l'établissement 2;Numero de voie de l'établissement 2;Indice de répétition de l'établissement 2;Type de voie de l'établissement 2;Libellé de la voie de l'établissement 2;Code postal de l'établissement 2;Libellé de la commune de l'établissement 2;Libellé de la commune de l'établissement étranger 2;Distribution spéciale de l'établissement 2;Code de la commune de l'établissement 2;Code cedex de l'établissement 2;Libellé cedex de l'établissement 2;Code pays de l'établissement;Libellé du pays de l'établissement étranger;Date du début de la période de l'établissement;Etat administratif de l'établissement;Enseigne de l'établissement 1;Enseigne de l'établissement 2;Enseigne de l'établissement 3;Dénomination usuelle de l'établissement;Activité principale de l'établissement;Nomenclature principale de l'établissement;Caractère employeur de l'établissement;Statut de diffusion de l'unité légale;Unité légale purgée;Date de création de l'unité légale;Sigle de l'unité légale;Civilité de la personne physique;Prénom de la personne physique 1;Prénom de la personne physique 2;Prénom de la personne physique 3;Prénom de la personne physique 4;Prénom usuel de la personne physique;Pseudonyme de la personne physique;Identifiant association de l'unité légale;Tranche de l'effectif de l'unité légale;Tranche de l'effectif de l'unité légale triable;Année de la tranche de l'effectif de l'unité légale;Date du dernier traitement de l'unité légale;Nombre de périodes de l'unité légale;Catégorie de l'entreprise;Année de la catégorie de l'entreprise;Date de début de l'unité légale;Etat administratif de l'unité légale;Nom de la personne physique;Nom d'usage de la personne physique;Dénomination de l'unité légale;Dénomination usuelle de l'unité légale 1;Dénomination usuelle de l'unité légale 2;Dénomination usuelle de l'unité légale 3;Catégorie juridique de l'unité légale;Activité principale de l'unité légale;Nomenclature de l'activité principale de l'unité légale;NIC du siège de l'unité légale;Economie sociale et solidaire unité légale;Société à mission unité légale;Caractère employeur de l'unité légale;Code EPCI de l'établissement;Libellé de l'EPCI de l'établissement;Code de l'arrondissement de l'établissement;Code du département de l'établissement;Département de l'établissement;Code de la région de l'établissement;Région de l'établissement;Section de l'établissement;Sous-section de l'établissement;Division de l'établissement;Groupe de l'établissement;Classe de l'établissement;Section de l'unité légale;Sous-section de l'unité légale;Division de l'unité légale;Groupe de l'unité légale;Classe de l'unité légale;Nature juridique de l'unité légale;Première ligne de l'adressage;Adresse de l'établissement;SIRET du siège de l'unité légale;Date de fermeture de l'établissement;Date de fermeture de l'unité légale;Géolocalisation de l'établissement
512205592;00029;51220559200029;P;2009-12-22;;;;;2019-02-20T08:42:47-03:00;non;2;[ND];[ND];[ND];[ND];[ND];[ND];LILLE;;[ND];59350;[ND];[ND];;;[ND];;[ND];[ND];[ND];[ND];;;[ND];;[ND];[ND];;;2010-01-01;Fermé;[ND];[ND];[ND];[ND];43.22B;NAFRev2;Non;P;;2009-05-04;[ND];;[ND];[ND];[ND];[ND];[ND];[ND];;;;;2021-01-27T00:44:23-03:00;7;PME;2020;2020-12-07;Active;[ND];[ND];[ND];[ND];[ND];[ND];1000;33.11Z;NAFRev2;00060;;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Construction;Travaux de construction spécialisés;Travaux d'installation électrique, plomberie et autres travaux d'installation;Travaux de plomberie et installation de chauffage et de conditionnement d'air;Travaux d'installation d'équipements thermiques et de climatisation;Industrie manufacturière;Réparation et installation de machines et d'équipements;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation d'ouvrages en métaux;Réparation d'ouvrages en métaux;Entrepreneur individuel;;[ND] [ND] [ND] [ND];51220559200060;2010-01-01;;50.631855028, 3.046986424
903879567;00027;90387956700027;P;2022-07-01;;;;;2022-07-22T08:02:22-03:00;non;1;[ND];[ND];[ND];[ND];[ND];[ND];BAUVIN;;[ND];59052;[ND];[ND];;;[ND];;[ND];[ND];[ND];[ND];;;[ND];;[ND];[ND];;;2022-07-01;Actif;[ND];[ND];[ND];[ND];68.20A;NAFRev2;Non;P;;2021-11-05;[ND];;[ND];[ND];[ND];[ND];[ND];[ND];;;;;2022-07-22T08:02:22-03:00;1;;;2021-11-05;Active;[ND];[ND];[ND];[ND];[ND];[ND];1000;43.21A;NAFRev2;00019;;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Activités immobilières;Activités immobilières;Location et exploitation de biens immobiliers propres ou loués;Location et exploitation de biens immobiliers propres ou loués;Location de logements;Construction;Travaux de construction spécialisés;Travaux d'installation électrique, plomberie et autres travaux d'installation;Installation électrique;Travaux d'installation électrique dans tous locaux;Entrepreneur individuel;;[ND] [ND] [ND] [ND];90387956700019;;;50.515851898, 2.893236267
512205592;00011;51220559200011;P;2009-05-04;;;;;2019-02-20T08:42:47-03:00;non;2;[ND];[ND];[ND];[ND];[ND];[ND];LILLE;;[ND];59350;[ND];[ND];;;[ND];;[ND];[ND];[ND];[ND];;;[ND];;[ND];[ND];;;2009-12-22;Fermé;[ND];[ND];[ND];[ND];43.22B;NAFRev2;Non;P;;2009-05-04;[ND];;[ND];[ND];[ND];[ND];[ND];[ND];;;;;2021-01-27T00:44:23-03:00;7;PME;2020;2020-12-07;Active;[ND];[ND];[ND];[ND];[ND];[ND];1000;33.11Z;NAFRev2;00060;;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Construction;Travaux de construction spécialisés;Travaux d'installation électrique, plomberie et autres travaux d'installation;Travaux de plomberie et installation de chauffage et de conditionnement d'air;Travaux d'installation d'équipements thermiques et de climatisation;Industrie manufacturière;Réparation et installation de machines et d'équipements;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation d'ouvrages en métaux;Réparation d'ouvrages en métaux;Entrepreneur individuel;;[ND] [ND] [ND] [ND];51220559200060;2009-12-22;;50.631855028, 3.046986424
401134721;00026;40113472100026;O;2002-08-28;Etablissement non employeur;-1;;;2019-02-20T08:42:47-03:00;oui;2;;8;;Rue;MAL DE LATTRE DE TASSIGNY;59800;LILLE;;;59350;;;;;;;;;;;;;;;;;;;2002-12-25;Fermé;;;;;74.1J;NAF1993;Non;O;;1995-06-01;;Masculin;MICHEL;;;;MICHEL;;;;;;2006-11-25T11:45:36-03:00;5;;;2002-12-25;Active;MACE;;;VERSAILLES LLOYD LOOM;;;1000;74.1J;NAF1993;00026;;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Immobilier, location et services aux entreprises;Immobilier, location et services aux entreprises;Services fournis principalement aux entreprises;Activités juridiques, comptables et de conseil de gestion;Administration d'entreprises;Immobilier, location et services aux entreprises;Immobilier, location et services aux entreprises;Services fournis principalement aux entreprises;Activités juridiques, comptables et de conseil de gestion;Administration d'entreprises;Entrepreneur individuel;Monsieur MICHEL MACE;8 Rue MAL DE LATTRE DE TASSIGNY;40113472100026;;;50.634911, 3.055184
783851231;00010;78385123100010;O;1990-06-05;6 à 9 salariés;3;2020;;2022-08-29T06:45:57-03:00;oui;4;;20;;Allée;JULES STEELANDT;59200;TOURCOING;;;59599;;;;;;;;;;;;;;;;;;;2008-01-01;Actif;;;;;85.20Z;NAFRev2;Oui;O;;1990-06-05;;;;;;;;;W595012058;6 à 9 salariés;3;2020;2022-08-29T06:45:57-03:00;8;PME;2020;2016-01-01;Active;;;OGEC FRANCOISE DOLTO;ECOLE PRIMAIRE FRANCOISE DOLTO;;;9220;85.20Z;NAFRev2;00010;O;;Oui;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Enseignement;Enseignement;Enseignement primaire;Enseignement primaire;Enseignement primaire;Enseignement;Enseignement;Enseignement primaire;Enseignement primaire;Enseignement primaire;Association déclarée;;20 Allée JULES STEELANDT;78385123100010;;;50.715122, 3.148618
537823825;00022;53782382500022;O;2013-01-07;;;;;2019-02-20T08:42:47-03:00;non;2;APPT 27;58;;Rue;DE LA BARRE;59800;LILLE;;;59350;;;;;;;;;;;;;;;;;;;2016-02-24;Fermé;;;;;85.51Z;NAFRev2;Non;O;;2011-11-10;;Féminin;MARION;VERONIQUE;PASCALE;;MARION;;;;;;2017-11-14T05:33:59-03:00;4;PME;2020;2017-11-09;Active;FLOCH;;;;;;1000;85.51Z;NAFRev2;00048;;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Enseignement;Enseignement;Autres activités d'enseignement;Enseignement de disciplines sportives et d'activités de loisirs;Enseignement de disciplines sportives et d'activités de loisirs;Enseignement;Enseignement;Autres activités d'enseignement;Enseignement de disciplines sportives et d'activités de loisirs;Enseignement de disciplines sportives et d'activités de loisirs;Entrepreneur individuel;Madame MARION FLOCH;58 Rue DE LA BARRE;53782382500048;2016-02-24;;50.63863, 3.0558
523352904;00024;52335290400024;O;2010-11-20;Etablissement non employeur;-1;;;2022-02-10T00:37:34-03:00;non;2;;3;;Rue;JEAN DE LA FONTAINE;59480;ILLIES;;;59320;;;;;;;;;;;;;;;;;;;2020-12-01;Fermé;;;;;96.09Z;NAFRev2;Oui;O;;2003-06-04;;;;;;;;;W595005867;Etablissement non employeur;-1;;2022-03-05T09:04:09-03:00;5;PME;2020;2020-12-01;Active;;;KRAV MAGA 59;;;;9220;96.09Z;NAFRev2;00032;O;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Autres activités de services;Autres services personnels;Autres services personnels;Autres services personnels n.c.a.;Autres services personnels n.c.a.;Autres activités de services;Autres services personnels;Autres services personnels;Autres services personnels n.c.a.;Autres services personnels n.c.a.;Association déclarée;;3 Rue JEAN DE LA FONTAINE;52335290400032;2020-12-01;;50.562484, 2.828215
483691457;00012;48369145700012;P;2005-07-21;Etablissement non employeur;-1;;;2006-11-25T17:21:01-03:00;oui;1;[ND];[ND];[ND];[ND];[ND];[ND];HALLUIN;;[ND];59279;[ND];[ND];;;[ND];;[ND];[ND];[ND];[ND];;;[ND];;[ND];[ND];;;2005-07-21;Fermé;[ND];[ND];[ND];[ND];74.1J;NAFRev1;Non;P;;2005-07-21;[ND];;[ND];[ND];[ND];[ND];[ND];[ND];;Etablissement non employeur;-1;;2006-11-25T17:21:01-03:00;1;;;2005-07-21;Cessée;[ND];[ND];[ND];[ND];[ND];[ND];1000;74.1J;NAFRev1;00012;;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Immobilier, location et services aux entreprises;Immobilier, location et services aux entreprises;Services fournis principalement aux entreprises;Activités juridiques, comptables et de conseil de gestion;Administration d'entreprises;Immobilier, location et services aux entreprises;Immobilier, location et services aux entreprises;Services fournis principalement aux entreprises;Activités juridiques, comptables et de conseil de gestion;Administration d'entreprises;Entrepreneur individuel;;[ND] [ND] [ND] [ND];48369145700012;;;50.774775768, 3.126433807
521269175;00027;52126917500027;O;2019-03-01;;;;;2021-02-23T12:35:27-03:00;oui;1;;16;;Allée;DES FENAISONS;59910;BONDUES;;;59090;;;;;;;;;;;;;;;;;;;2019-03-01;Actif;;;;;70.22Z;NAFRev2;Non;O;;2010-03-20;FECT;;;;;;;;;;;;2019-09-17T00:52:53-03:00;3;PME;2020;2019-03-01;Active;;;FINANCIERE EXPERTISE CONSEIL TOLMAN;;;;5710;70.22Z;NAFRev2;00027;N;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Activités spécialisées, scientifiques et techniques;"Activités des sièges sociaux ; conseil de gestion";Conseil de gestion;Conseil pour les affaires et autres conseils de gestion;Conseil pour les affaires et autres conseils de gestion;Activités spécialisées, scientifiques et techniques;"Activités des sièges sociaux ; conseil de gestion";Conseil de gestion;Conseil pour les affaires et autres conseils de gestion;Conseil pour les affaires et autres conseils de gestion;SAS, société par actions simplifiée;;16 Allée DES FENAISONS;52126917500027;;;50.703883, 3.084619
451249551;00016;45124955100016;O;2003-12-01;Etablissement non employeur;-1;;;2019-02-20T08:42:47-03:00;oui;4;;4;;Rue;ARMAND CARREL;59000;LILLE;;;59350;;;;;;;;;;;;;;;;;;;2008-01-01;Actif;;;;;80.10Z;NAFRev2;Non;O;;2003-12-01;VSPN;;;;;;;;;Etablissement non employeur;-1;;2017-05-20T04:59:06-03:00;4;PME;2020;2008-01-01;Active;;;VIGILANCE SECURITE PARIS NORD;;;;5499;80.10Z;NAFRev2;00016;;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Activités de services administratifs et de soutien;Enquêtes et sécurité;Activités de sécurité privée;Activités de sécurité privée;Activités de sécurité privée;Activités de services administratifs et de soutien;Enquêtes et sécurité;Activités de sécurité privée;Activités de sécurité privée;Activités de sécurité privée;Société à responsabilité limitée (sans autre indication);;4 Rue ARMAND CARREL;45124955100016;;;50.617774, 3.07356
908992043;00012;90899204300012;O;2021-12-16;;;;;2023-04-03T08:29:24-03:00;oui;2;;23;;Rue;DE BRETAGNE;59370;MONS-EN-BAROEUL;;;59410;;;;;;;;;;;;;;;;;;;2022-12-01;Actif;;;;;49.41A;NAFRev2;Oui;O;;2021-12-16;;;;;;;;;;;;;2022-12-09T05:54:35-03:00;3;;;2022-12-01;Active;;;24H TRANSPORT;;;;5710;49.41A;NAFRev2;00012;N;N;Oui;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Transports et entreposage;Transports terrestres et transport par conduites;Transports routiers de fret et services de déménagement;Transports routiers de fret;Transports routiers de fret interurbains;Transports et entreposage;Transports terrestres et transport par conduites;Transports routiers de fret et services de déménagement;Transports routiers de fret;Transports routiers de fret interurbains;SAS, société par actions simplifiée;;23 Rue DE BRETAGNE;90899204300012;;;50.636676, 3.100544
